*** DUMP ../airbornenight.plf ***

    dwHdrVersion: 0x0000000d
       dwHdrSize: 0x00000038
   dwSectHdrSize: 0x00000014
      dwFileType: 0x00000002 (ARCHIVE)
    dwEntryPoint: 0x00000000
    dwTargetPlat: 0x00000004
    dwTargetAppl: 0x00000073
      dwHwCompat: 0x0b66984e
  dwVersionMajor: 0x00000002
  dwVersionMinor: 0x00000006
 dwVersionBugfix: 0x00000008
      dwLangZone: 0x00000000
      dwFileSize: 0x00cb09d8
-- Number of sections: 824 --
Sect 0072: Type: 0x00000009, Size: 0x00000370, CRC32: 0x2fc813d8, LoadAddr: 0x00000000, UncomprSize: 0x00000bdd
Sect 0073: Type: 0x00000009, Size: 0x00000394, CRC32: 0xfaf0901e, LoadAddr: 0x00000000, UncomprSize: 0x00000c7c
Sect 0074: Type: 0x00000009, Size: 0x000006d7, CRC32: 0x7bd7be91, LoadAddr: 0x00000000, UncomprSize: 0x00001787
Sect 0075: Type: 0x00000009, Size: 0x000003e7, CRC32: 0xf705d7ca, LoadAddr: 0x00000000, UncomprSize: 0x000017d0
Sect 0076: Type: 0x00000009, Size: 0x00000026, CRC32: 0xcaf3002d, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0077: Type: 0x00000009, Size: 0x00000146, CRC32: 0xd48acbe8, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0078: Type: 0x00000009, Size: 0x00000216, CRC32: 0x6ae33601, LoadAddr: 0x00000000, UncomprSize: 0x000005ab
Sect 0079: Type: 0x00000009, Size: 0x0000001f, CRC32: 0x7e2a3b02, LoadAddr: 0x00000000, UncomprSize: 0x00000000
Sect 0080: Type: 0x00000009, Size: 0x000001a6, CRC32: 0x7e30c260, LoadAddr: 0x00000000, UncomprSize: 0x000002fe
Sect 0081: Type: 0x00000009, Size: 0x0000011d, CRC32: 0xf9293ac3, LoadAddr: 0x00000000, UncomprSize: 0x0000023f
Sect 0082: Type: 0x00000009, Size: 0x0000002a, CRC32: 0xeb246711, LoadAddr: 0x00000000, UncomprSize: 0x00000000
